PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
Qd.png,3s.png,6d.png,9h.png,5c.png,4.13
Td.png,6d.png,8d.png,9h.png,Qc.png,28.07
Qc.png,3s.png,Kh.png,9c.png,5h.png,4.1
3c.png,Tc.png,Jh.png,9d.png,Ah.png,3.03
Kh.png,2c.png,Ts.png,7s.png,6h.png,4.9
Ad.png,6c.png,4d.png,8c.png,6d.png,25.17
4s.png,8h.png,6c.png,Jd.png,3d.png,2.67
2d.png,3s.png,8s.png,9c.png,3c.png,13.6
Ad.png,9s.png,Ah.png,Js.png,8s.png,40.8
Js.png,As.png,Ks.png,5d.png,2d.png,16.7
Jh.png,Ah.png,Th.png,Qs.png,Ks.png,70.9
6s.png,3s.png,2c.png,7c.png,5h.png,15.3
2d.png,5h.png,Ac.png,Tc.png,Jh.png,1.23
2d.png,Kc.png,Ks.png,4d.png,3h.png,35.33
4s.png,3s.png,Ks.png,Qc.png,5d.png,8
2s.png,9s.png,Jc.png,5s.png,7d.png,6.77
Ts.png,2h.png,Js.png,4c.png,5h.png,4.8
8d.png,9c.png,Qc.png,7d.png,Jh.png,16.27
Kh.png,6s.png,2h.png,4c.png,As.png,5.5
Qd.png,8s.png,Ks.png,8h.png,7c.png,25.67
Qs.png,4s.png,Th.png,Kc.png,8d.png,5.27
7h.png,As.png,6c.png,2d.png,Qc.png,6.47
4c.png,Ah.png,3h.png,9c.png,5c.png,20.3
Ah.png,4d.png,7c.png,6d.png,7d.png,8.93
3s.png,3d.png,5d.png,7c.png,5s.png,10.13
7c.png,9s.png,5d.png,Kc.png,Jd.png,5.2
7d.png,Ah.png,Jd.png,7h.png,Jh.png,27.57
7c.png,3c.png,3h.png,Ah.png,3d.png,62.7
5s.png,7c.png,Qh.png,3c.png,2s.png,5.3
7s.png,6s.png,5c.png,Kh.png,3h.png,15.97
Jh.png,Ks.png,9s.png,5d.png,9c.png,10.53
4s.png,Th.png,5h.png,2d.png,Tc.png,34.17
9s.png,Tc.png,4d.png,Ts.png,Qs.png,27.47
Qc.png,Kc.png,As.png,Jh.png,2h.png,20.63
Tc.png,6s.png,9s.png,5d.png,Jd.png,3.75
5c.png,Qs.png,2c.png,Td.png,5s.png,22.4
9h.png,5s.png,4h.png,6s.png,2h.png,12.03
Jc.png,Jd.png,2c.png,8d.png,Jh.png,87.8
Jc.png,Js.png,4c.png,5d.png,7d.png,18.43
5d.png,7h.png,4c.png,5h.png,2h.png,16.9
Kc.png,Js.png,4c.png,Ks.png,Ts.png,47.53
7c.png,Jd.png,9d.png,Ad.png,3s.png,5.2
2h.png,9d.png,Qd.png,8s.png,4h.png,3
Ac.png,7c.png,3c.png,3s.png,2c.png,35.1
7c.png,3s.png,Ah.png,9c.png,Qs.png,0.73
8s.png,Jc.png,Kc.png,6c.png,6s.png,6.1
